id,질문,예상답변,정답
409,미국 연방거래위원회가 경고장을 발부한 이유는 무엇인가?,"미국 연방거래위원회가 경고장을 발부한 이유는 해당 기업이나 개인의 행위가 경쟁법 위반으로 이어질 가능성이 있어 시장 경쟁을 해치는 행위를 방지하기 위함입니다. 정확한 이유는 공개된 정보 없이 구체적으로 알 수 없으나, 주로 불공정 경쟁, 가격 조작, 독점적 행위 등과 관련이 있습니다.","각 회사가 신뢰할 수 있는 과학적 증거 없이 CBD 제품이 질병을 예방, 처치 또는 치료할 수 있다고 광고했기 때문임."
410,Threshold Enterprises Ltd가 회수하는 Source Naturals Dietary Supplement Brain Charge Advanced Cognitive Support의 회수 사유는 무엇인가?,"Threshold Enterprises Ltd가 회수하는 사유에 대한 구체적인 정보가 제공되지 않았습니다. 정확한 회수 사유를 알기 위해서는 공식 공지나 관련 기관의 발표를 확인해야 합니다. 만약 특정 사유가 있다면, 그것은 제품의 안전성 문제나 품질 보증 위반 등이 될 수 있습니다. 더 구체적인 정보를 제공해 주시면 도움이 될 것입니다. 주어진 조건에 맞추어 한 문장으로 대답하자면: **정확한 회수 사유는 공식 발표를 통해 확인 가능합니다.** (단, 실제로는 구체적인 사유 없이 일반적인 답변으로 제한되었습니다.)","라벨링 오류로, 성분표 상의 두 원료에 대한 함량이 실제품보다 낮게 표시되었기 때문입니다."
411,미국 연방거래위원회가 FlexiPrin 구입 소비자에게 환불을 진행하는 이유는 무엇인가?,FlexiPrin 제품이 소비자 보호 규정 위반이나 제품 결함으로 인해 문제가 발생했기 때문입니다.,FlexiPrin이 관절통 치료에 효과가 있다고 허위 광고되었기 때문이다.
412,Northern Fisheries Ltd.가 회수한 참다랑어 제품의 회수 사유는 무엇인가요?,Northern Fisheries Ltd.가 회수한 참다랑어 제품의 구체적인 회수 사유는 공개되지 않았습니다.,스콤브로이드 식중독으로 인한 회수입니다.
413,캐나다에서 살모넬라 감염으로 인해 입원한 환자 수는 몇 명인가요?,"캐나다에서 최근 특정 연도의 살모넬라 감염으로 인한 입원 환자 수에 대한 정확한 수치를 제공하기 어렵습니다. 공식 통계는 시간이 지남에 따라 업데이트되며, 구체적인 숫자는 보건 기관의 최신 보고서를 통해 확인 가능합니다. 정확한 숫자를 원하신다면, 캐나다 보건 당국 웹사이트를 참조하시는 것이 좋습니다.",97명
414,Azuma Foods International Inc USA가 회수하는 수산물가공품 중 'Frozen Ika Popo'의 제품 번호는 무엇인가요?,제공된 정보로는 'Frozen Ika Popo'의 정확한 제품 번호를 알 수 없습니다. 추가 정보가 필요합니다.,Product # 51106
415,덴마크에서 발생한 살모넬라 감염의 원인은 무엇인가?,덴마크에서 발생한 살모넬라 감염의 원인은 주로 오염된 유제품이나 고기 제품 섭취 때문입니다. 정확한 식품 원천은 조사 중일 수 있습니다.,아직 감염 원인이 규명되지 않았음
416,브리티시컬럼비아에서 소 결핵이 처음 확인된 날짜는 언제인가요?,"브리티시 컬럼비아에서 소 결핵이 처음 확인된 정확한 날짜에 대한 공식 기록은 공개되지 않았습니다. 하지만, 이 질병에 대한 주의와 관리는 20세기 중반 이후부터 본격화된 것으로 알려져 있습니다. 특정 초기 날짜에 대한 명확한 기록이 부족합니다.",2018년 11월 9일
417,영국에서 아프리카돼지열병이 퍼질 수 있는 주요 원인은 무엇인가?,아프리카돼지열병이 영국에서 퍼질 수 있는 주요 원인은 감염된 돼지나 돼지 제품의 수입입니다.,"감염된 지역에서 오염된 돼지고기 제품을 가져오는 관광객 또는 여행자, 음식물 쓰레기나 돼지고기 제품을 동물에게 주는 행위, ASF 피해 지역에서 돌아와 돼지와 접촉하는 여행자, 오염된 차량 및 장비 사용 등이 주요 원인이다."
418,멕시코산 마라돌리 파파야가 연루된 식중독 사건에서 어떤 살모넬라 계통이 발견되었나요?,"멕시코산 파파야에서 발견된 살모넬라 계통에 대한 구체적인 정보는 공개 자료에서 명확하게 제시되지 않았습니다. 식중독 사건에 대한 특정 살모넬라 균주 언급이 없으므로 정확한 답변을 제공하기 어렵습니다. 일반적으로 파파야와 관련된 식중독 사례는 여러 살모넬라 균주 중 하나일 수 있으나, 해당 사건의 특정 균주는 확인되지 않았습니다. 정확한 균주 정보는 공식 보건 보고나 연구 결과를 통해 확인 가능합니다.","Salmonella Urbana, Salmonella Newport, Salmonella Infantis, Salmonella Anatum, Salmonella Thompson, Salmonella Kiambu, Salmonella Agona, 및 Salmonella Gaminara가 발견되었습니다."
419,영국에서 회수된 아보카도유 마요네즈는 어떤 문제로 인해 회수되었나요?,식중독균인 리스테리아 모노사이트제스 감염 위험으로 인해 회수되었습니다.,아보카도유 마요네즈는 공정상 오류로 인해 제품 내 곰팡이 및 살모넬라 위험성을 막는 식초가 부족하여 낮은 산도로 인해 회수되었습니다.
420,영국과 아일랜드에서 발생한 살모넬라 브레드니 감염 사례는 언제부터 언제까지 보고되었나요?,영국과 아일랜드에서 발생한 살모넬라 브레드니 감염 사례는 2022년 1월부터 보고되었습니다.,2017년 7월부터 2019년 7월까지 보고됨.
421,Bridgewater Poultry에서 회수한 계란의 유통지역은 어디인가요?,"Bridgewater Poultry에서 회수한 계란은 주로 국내 유통망을 통해 판매되었으며, 구체적인 지역 분포는 공개되지 않았습니다.","호주 'Coles(VIC, SA)', 'IGA Tormey Charlton(VIC)', 'Bendigo Fresh Food(VIC)', 'Inglewood Butcher Shop(VIC)', 'Woolworths(NSW, VIC, TA, SA, ACT)'입니다."
422,몽골인 커플이 흑사병에 걸린 원인은 무엇인가?,"흑사병은 주로 감염된 쥐나 쥐의 벼룩을 통해 퍼지므로, 몽골인 커플이 흑사병에 걸린 원인은 해당 지역의 쥐나 벼룩에 의한 감염이었을 가능성이 큽니다.",이 커플은 건강에 좋다고 알려진 설치류인 마못의 생고기와 신장을 먹은 후 흑사병에 걸렸다.
423,유럽식품안전청은 농약 활성 성분의 승인 절차에서 어떤 지침을 제공하나요?,"유럽식품안전청은 농약 활성 성분의 승인을 위해 과학적 평가, 잔류량 안전성 검토, 환경 영향 평가 등의 지침을 제공합니다.","유럽식품안전청은 농약 활성 성분의 승인, 승인 수정 또는 기존 승인 갱신을 위한 신청서를 뒷받침하는 서류 준비 및 제출에 대한 관리 요구 사항을 설명하고, 서류 및 평가 보고서의 질을 높이기 위한 추가적인 지침을 제공합니다."
424,조지아주에서 CBD 오일을 식품에 첨가하는 것이 불법인 이유는 무엇인가?,조지아주에서 CBD 오일을 식품에 첨가하는 것이 불법인 이유는 아직 명확한 법적 규제가 없거나 특정 CBD 제품에 대한 규제가 명확하지 않아 법적 불확실성이 존재하기 때문입니다. 하지만 주의 법률과 연방법의 세부 조항에 따라 달라질 수 있습니다. 정확한 불법 여부는 최신 법률 정보를 확인해야 합니다. 간결한 답변으로는: 조지아주는 CBD 규제에 대한 명확한 법적 기준이 미비하여 불확실성이 있습니다.,조지아주에서는 연방 식품의약품청(FDA)의 규정에 근거해 CBD 오일을 식품이나 식이보충제에 첨가하는 것이 여전히 불법이다.
425,태국이 금지한 농약은 무엇인가?,태국은 DDT와 같은 몇몇 농약의 사용을 금지했습니다.,"태국이 금지한 농약은 글리포세이트, 클로르피리포스, 파라쿼트이다."
426,영국의 식품기준청(FSA)이 CBD 제품을 어떻게 재분류하려고 하나요?,영국 식품기준청(FSA)은 CBD 제품을 의약품으로 재분류하려는 움직임을 중단했습니다.,식품기준청(FSA)은 CBD 제품을 '식이보충제'가 아닌 '신식품'으로 재분류하려는 계획을 발표했습니다.
427,"Tri-Union Frozen Products, Inc.가 회수 중인 연어 가공품의 회수 사유는 무엇인가요?","Tri-Union Frozen Products, Inc.가 회수 중인 연어 가공품은 식중독을 일으킬 수 있는 리스테리아 모노사이트제네스 박테리아에 오염되었을 가능성이 있어 회수되고 있습니다.",소량 비율의 파우치가 부풀어 있다는 거래처 신고 접수
428,네슬레가 커피 원두 안전 기준을 강화하게 된 이유는 무엇인가?,네슬레는 기후 변화로 인한 원두 생산지의 불안정성과 품질 저하를 우려하여 커피 원두 안전 기준을 강화했습니다.,네슬레는 자사의 커피 원두에서 규제 한계치에 가까운 수준의 살충제 글리포세이트가 검출되었기 때문에 안전 기준을 강화하기로 했다.
429,미국 환경보호청이 클로르피리포스 사용 금지 명령을 재심하도록 설득한 이유는 무엇인가?,클로르피리포스의 잠재적인 건강 위험과 환경 영향에 대한 우려 때문입니다.,"항소법원은 클로르피리포스가 저출산율, 정신발달과 집중력, 행동 문제 손상 및 기타 어린이에 피해를 준다는 과학적 근거가 잘못됐다고 보거나 고려하지 않았다는 이유로 재심을 결정했다."
430,Seattle Gourmet Foods Inc.가 회수한 FungusAmongUs Shiitake Organic Mushrooms의 회수 이유는 무엇인가요?,Seattle Gourmet Foods Inc.가 FungusAmongUs Shiitake Organic Mushrooms을 회수한 정확한 이유는 공개되지 않았습니다.,아황산염 미표시로 인한 회수입니다.
431,Sangju Dried Persimmon Distribution Center의 제품이 부적합 판정을 받은 이유는 무엇인가요?,**답변**:  제품의 위생 상태나 품질 기준을 충족하지 못했기 때문입니다. 정확한 이유는 공개되지 않았습니다.,"유해 농약이 함유된 농산품으로, 식의약화장품법 관련 조항 402(a)(2)(B), 801(a)(3)에 따라 변질로 인한 부적합 판정을 받았습니다."
432,코요테 호수에서 18-49세 여성과 1-18세 어린이가 섭취를 금지해야 하는 생선은 무엇인가요?,코요테 호수에서 18-49세 여성과 1-18세 어린이는 체인을 섭취를 금지해야 합니다.,black bass species
433,유럽환경청이 경고한 PFAS 오염의 주요 노출 경로는 무엇인가?,유럽환경청은 PFAS 오염의 주요 노출 경로로 식품 섭취와 환경 중 노출을 통한 피부 흡수를 경고했습니다.,"음용수, 식품, 식품포장, 먼지, 크림 및 화장품, PFAS 코팅 섬유나 기타 소비재가 주요 노출 경로이다."
434,Mendham Golf and Tennis Club에서 A형 간염이 발생한 이유는 무엇인가요?,Mendham Golf and Tennis Club에서 A형 간염 발생 원인에 대한 구체적인 정보가 제공되지 않았습니다. 정확한 이유를 알 수 없습니다.,해당 문서에 없음
435,Superdrugs에서 회수한 임신부용 오렌지맛 비타민 제품의 회수 사유는 무엇인가요?,회수 사유는 제품 내 허용되지 않는 첨가물이 검출되었기 때문입니다.,국민보건의료서비스(NHS)의 엽산 권고량 미충족
436,필라델피아에서 발생한 대장균 감염의 원인은 무엇인가?,"대장균 감염의 정확한 원인을 특정하기 위해서는 최근 필라델피아에서 발생한 구체적인 사건이나 보고에 대한 최신 정보가 필요합니다. 일반적으로는 오염된 음식이나 물, 부적절한 위생 관리가 원인이 될 수 있습니다. 특정 사건에 대한 정보가 없으므로 확실한 원인을 지정하기 어렵습니다. 만약 특정 사례에 대해 묻는다면 그 세부 정보를 제공해 주셔야 합니다.",해당 문서에 없음
437,뉴질랜드에서 알코올로 인해 조기 사망한 사람은 몇 명인가?,"최근 정확한 숫자는 제공되지 않았지만, 뉴질랜드에서는 알코올 관련 질환으로 매년 수백 명의 사람들이 조기 사망하는 것으로 알려져 있습니다. 정확한 연간 사망자 수는 통계 업데이트에 따라 달라질 수 있습니다.","8,000명"
438,어유 보충제가 제2형 당뇨병에 효과가 없다는 연구 결과를 발표한 기관은 어디인가?,"메타분석 연구 결과를 발표한 기관은 **미국 국립의학연구소(National Institutes of Health, NIH)** 입니다.",영국 이스트앵글리아 대학교
439,노르웨이에서 설탕 소비량이 감소한 주요 원인은 무엇인가?,노르웨이에서 설탕 소비량 감소의 주요 원인은 건강 인식 증가와 당분 섭취 제한 권장 때문입니다.,"노르웨이는 설탕 소비를 줄이기 위해 당세 인상을 해왔으며, 최근에는 제과 제품 및 당 음료에 대한 세금을 크게 올렸기 때문이다."
440,스타벅스 시그니처 캐러멜 핫 초콜릿(벤티)에는 얼마나 많은 설탕이 들어있나요?,"스타벅스 시그니처 캐러멜 핫 초콜릿 벤티 사이즈의 정확한 설탕 함량 정보는 공식 메뉴 항목에서 명확히 제시되어 있지 않습니다. 일반적으로 핫 초콜릿 제품의 설탕 함량은 제품마다 다르며, 정확한 수치는 제조 국이나 지점에 따라 달라질 수 있습니다. 정확한 함량을 알고 싶으시다면 스타벅스에 직접 문의하시는 것이 가장 좋습니다.",스타벅스 시그니처 캐러멜 핫 초콜릿(벤티)에는 설탕 23 티스푼(93.7g)이 들어있습니다.
441,뉴질랜드에서 학교 주변 정크푸드 광고 금지 조치는 어떤 거리 내에서 시행되나요?,뉴질랜드에서 학교 주변 정크푸드 광고 금지 조치는 학교 문으로부터 **500미터** 이내에서 시행됩니다.,초등 및 중등학교 교문 반경 300미터 이내에서 시행됩니다.
442,이집트에서 비만으로 고통받는 성인의 비율은 얼마인가?,"최근 정확한 통계는 공개되지 않았지만, 세계보건기구(WHO)에 따르면 이집트의 성인 비만 비율은 약 15%에서 25% 사이로 추정됩니다. 정확한 수치는 최신 조사 결과에 따라 다를 수 있습니다.",이집트 성인 인구의 35%가 비만으로 고통받고 있다.
443,독일영양협회는 채식주의자에게 어떤 비타민을 보충하라고 권고하나요?,독일영양협회는 채식주의자에게 **비타민 B12** 보충을 권고합니다.,비타민 B12로 식이 보충할 것을 권고함.
444,캐나다 소아과협회는 알레르기 위험이 높은 아기에게 언제 땅콩버터를 제공하라고 권고하나요?,"캐나다 소아과협회는 일반적으로 아기가 6개월에서 10개월 사이에 땅콩버터를 안전하게 섭취할 수 있다고 권고합니다. 하지만 알레르기 위험이 높은 아기의 경우, 의사와 상담 후 결정하길 권장합니다.",캐나다 소아과협회는 알레르기 위험이 높은 아기의 부모에게 6개월령에 땅콩버터를 제공할 것을 권고합니다.
445,미국 상원 세출위원회가 FDA의 수산물 검사 예산을 얼마나 추가 승인했나요?,미국 상원 세출위원회가 FDA의 수산물 검사 예산에 대한 구체적인 추가 승인 금액에 대한 정보는 제공된 문맥에서 확인되지 않습니다. 정확한 금액은 공개되지 않았습니다.,100만 달러
446,Produits Vegkiss Inc.와 Jean Otis는 어떤 법을 위반하여 기소되었나요?,Produits Vegkiss Inc.와 Jean Otis는 식품 판매 시 허위 광고와 식품 라벨링 규정을 위반하여 기소되었습니다.,"Produits Vegkiss Inc.와 Jean Otis는 형법, 식품의약품법, 농산물법 위반 혐의로 기소되었습니다."
447,Sunshine International Foods Inc.가 경고장을 받은 주요 위반 내용은 무엇인가?,"Sunshine International Foods Inc.가 경고장을 받은 주요 위반 내용은 식품 위생법 위반으로, 구체적인 위반 사항은 제공된 정보에 따라 명시되지 않았습니다. 정확한 위반 내용은 공식 경고장 내용을 참조해야 합니다.","현행 우수제조관리규범(CGMP) 기준 위반, 식품의 제조, 포장, 보관 기준 위반, 비위생적 환경"
448,Nerstrand Meats and Catering에서 회수한 제품은 무엇인가요?,회수한 제품은 구체적으로 언급되지 않았습니다.,"Regular Beef Strips, Cajun Beef Strips, Smoked Turkey Strips입니다."
449,2019년 10월에 한국산 식품 중 부적합 판정을 받은 건수는 몇 건인가요?,2019년 10월 한국산 식품 부적합 판정 건수에 대한 구체적인 숫자는 공개된 공식 통계에서 명확하게 확인되지 않습니다. 정확한 수치를 제공하기 어렵습니다. 관련 기관의 최신 보고서를 참조하시는 것이 가장 정확할 것입니다.,10건
450,Smile Bear Silicone Soothers 제품이 회수된 이유는 무엇인가요?,"Smile Bear Silicone Soothers 제품이 회수된 이유는 제품의 안전 문제와 관련된 결함으로 인한 것으로 알려져 있습니다. 하지만 구체적인 결함 내용은 공개된 정보에 따라 다를 수 있습니다. 정확한 이유를 알고 싶으시다면 해당 제조사의 공식 발표를 참고하시는 것이 좋습니다. 주어진 조건에 따라 간결히 말씀드리자면, **제품의 안전 문제로 인한 결함 때문**입니다.",질식 위험(찢어지거나 깨짐으로 인한 질식 위험) 및 끈 졸림 위험(동 제품에 부착된 끈 또는 리본으로 인해 끈 졸림 위험이 있음) 때문입니다.
451,Ozark Country Kitchen에서 회수한 수수 제품의 회수 이유는 무엇인가요?,"수수 제품의 회수 이유는 구체적인 정보가 제공되지 않아 정확히 알 수 없습니다. 일반적으로는 제품의 오염, 품질 문제, 또는 안전상의 이유로 회수될 수 있습니다. Ozark Country Kitchen 측의 공식 발표를 확인해 보시는 것이 가장 정확할 것입니다.",제품이 높은 수치의 질산염을 함유하고 있기 때문입니다.
452,FY 2018 동안 미국 식품시설에서 가장 많이 위반된 식품 기준은 무엇인가요?,2018년도 미국 식품시설에서 가장 많이 위반된 식품 기준은 기록 유지 규정과 관련된 사항이었습니다. 하지만 구체적인 통계 수치는 공개되지 않았습니다. 정확한 세부 위반 항목은 공식 보고서를 참고해야 합니다.,위생 환경과 규범 모니터링 빈도 불충분으로 188개 시설(21.5%)이 위반되었습니다.
453,호주 농업부가 발표한 8월 수입 보류 식품 목록 리포트를 어디서 확인할 수 있나요?,"호주 농업부의 8월 수입 보류 식품 목록 리포트는 공식 웹사이트나 관련 뉴스 기사에서 확인할 수 있습니다. 정확한 링크는 시간과 변경에 따라 달라질 수 있으니, 호주의 농업부 웹사이트 검색을 권장드립니다.",http://www.agriculture.gov.au/SiteCollectionDocuments/biosecurity/import/food/failing-food-reports/failing-food-aug2019.pdf
454,미국에서 식인성 질환으로 매년 얼마나 많은 사람들이 감염되나요?,미국에서 매년 식인성 질환으로 약 1 억 명 이상의 사람들이 감염되는 것으로 추정됩니다.,"미국에서 해마다 식인성 질환으로 4,800만 명이 감염됩니다."
455,호주 연방의료제품청의 등재의약품 신청 시스템 변경은 무엇을 가능하게 하나요?,호주 연방의료제품청의 등재의약품 신청 시스템 변경은 **환자들이 의약품 접근성을 높이는 데 도움이 될 것**입니다.,"제조사는 프로폴리스와 로얄 젤리의 조제품 성분을 본 활성 성분으로 입력 가능하며, 본 성분보다 큰 양의 물질의 동등한 양을 표시할 수 있게 됩니다."
456,Sara Lee Frozen Bakery가 회수 중인 Chef Pierre ¿ SMALL WHOLE GRAIN BANANA MUFFINS의 회수 사유는 무엇인가요?,회수 사유에 대한 구체적인 정보가 공개되지 않았습니다. 자세한 내용은 Sara Lee Frozen Bakery 공식 발표를 참고하시기 바랍니다.,소비자가 발견한 이물이 '나무 견과류'로 확인되어 회수 중입니다.
457,애들레이드에서 발견된 딸기 바구니의 못은 어떻게 발견되었나요?,애들레이드에서 딸기 바구니의 못은 고고학자들이 발굴 과정 중에 발견했습니다.,못을 발견한 여성은 스무디를 만들기 위해 딸기를 자를 때는 못을 못 봤지만 나중에 반짝이는 것을 발견했다고 말했습니다.
458,Lamb s Supreme Potato Tater Puffs의 회수 사유는 무엇인가요?,"Lamb's Supreme Potato Tater Puffs의 회수 사유는 구체적인 정보 없이 명시할 수 없습니다. 일반적으로 식품 회수는 유해 물질 검출, 변질, 제조 과정 문제 등으로 일어나지만, 해당 제품의 경우 특정한 문제가 공개되지 않았습니다. 정확한 사유를 알고 싶으시다면 제조사나 관련 기관에 문의하시는 것이 좋습니다.",플라스틱 이물 오염
459,뉴질랜드 New World Te Puke에서 회수된 쇠고기 분쇄육의 회수 사유는 무엇인가요?,뉴질랜드의 New World Te Puke에서 회수된 쇠고기 분쇄육은 대장균 수치 초과로 회수되었습니다.,흑색 및 백색의 부드러운 플라스틱 이물 혼입 가능성
460,"Brill, Inc.에서 회수한 제품의 유통기한은 언제인가요?","제품의 정확한 유통기한 정보를 제공하기 위해서는 Brill, Inc.의 특정 제품 모델이나 배치 번호가 필요합니다. 제공 가능한 정보로는 유통기한을 특정할 수 없습니다.",유통기한은 2019년 12월 29일입니다.
461,"PBM Nutritionals, LLC가 회수 중인 이유식 제품의 이름은 무엇인가요?","PBM Nutritionals, LLC가 회수 중인 이유식 제품의 정확한 이름은 공개되지 않았습니다. 특정 제품명은 공식 발표나 리콜 공지를 통해 확인 가능합니다.","Parent's Choice Toddler Next Stage Milk Drink Powder Natural Milk Flavor With Other Natural Flavors, Stage 3, 1 Year and Up, NET WT 24 OZ (1.5 LB) 680g과 Little JOURNEY Toddler Next Stage MILK DRINK POWDER, NET WT I PESO NETO 24 OZ I ONZAS (1.5 LB) 680g입니다."
462,Iowa Corn Processors가 회수하는 옥수수가루 제품의 회수 사유는 무엇인가요?,Iowa Corn Processors가 회수하는 옥수수가루 제품의 사유는 특정 품질 기준 미충족 또는 안전 문제 발생 때문입니다. 하지만 정확한 사유는 공개된 정보만으로는 구체적으로 명시하기 어렵습니다. 일반적으로 품질 문제나 건강 관련 위험이 주요 사유입니다. 한 문장으로 정리하자면: 품질 미달 또는 안전 위험 때문입니다.,구부러지는 파란 플라스틱 이물 혼입
463,호주 퍼스시에 거주하는 소비자가 발견한 과자에서의 문제는 무엇인가?,"과자에서의 구체적인 문제 내용이 제공되지 않았습니다. 더 자세한 정보가 필요합니다. 만약 벌레나 이물질 등이 발견되었다면, 소비자는 해당 제품의 이물질 신고 번호와 함께 문제 내용을 제조사나 소비자 보호 기관에 보고해야 합니다.",딸이 먹던 과자에서 머리카락 뭉치를 발견함.
464,Heinz By Nature 영아용 식품이 회수된 이유는 무엇인가요?,Heinz By Nature 영아용 식품의 회수는 제품 내 미생물 오염 우려로 인한 안전 문제 때문입니다.,날카로운 금속 이물 발견
465,Publix에서 회수된 분쇄육의 포장일은 언제인가요?,해당 정보는 공개적으로 제공되지 않았습니다.,2019년 6월 1일입니다.
466,Value brand Spaghetti in Tomato Sauce 제품은 어디에서 유통되었나요?,Value brand Spaghetti in Tomato Sauce 제품의 유통 경로에 대한 구체적인 정보는 공개 자료에서 명확히 확인되지 않습니다. 특정 유통 채널이나 판매처에 대한 정확한 답변을 제공하기 어렵습니다.,"뉴질랜드 전역 Pak'n Save, New World, Four Square, Gilmour's 매장에서 유통되었습니다."
467,뉴질랜드 일차산업부가 발표한 식품 안전 전략의 주요 우선순위는 무엇인가?,뉴질랜드 식품 안전 전략의 주요 우선순위는 **식품 안전성을 확보하여 국민 건강을 보호하는 것**입니다.,"세계 최고 수준의 식품 안전 시스템을 유지, 정보에 근거한 식품 선택 지원, 국제 포럼에서의 기여, 마오리족과의 협력, 새로운 도전에 대한 혁신적 접근이 포함된다."
468,영국에서 플라스틱 빨대 사용 금지에 대한 대중의 찬성 비율은 얼마인가?,영국에서 플라스틱 빨대 사용 금지에 대한 정확한 대중 찬성 비율에 대한 최신 통계는 공개 자료에서 명확히 제시되지 않았습니다. 그러나 여러 조사와 설문조사에서 상당 부분의 영국 대중이 플라스틱 감소 정책에 찬성하는 것으로 나타났습니다. 구체적인 수치는 제공하기 어렵습니다.,82%의 사람들이 플라스틱 빨대 사용 금지에 찬성했다.
469,일본이 영국산 양고기와 쇠고기 수입 금지를 해제한 이유는 무엇인가?,"일본이 영국산 육류 수입 금지를 해제한 직접적인 공식적 이유에 대해서는 명확한 공개 자료가 제한적입니다. 그러나 일반적으로는 무역 관계 개선이나 경제적 요인이 관련될 수 있습니다. 특정 사건이나 협정에 따른 조치였을 가능성이 있으나, 현재 제공된 정보만으로는 정확한 이유를 단정짓기 어렵습니다. 정확한 공식 이유는 해당 시기의 정부 발표를 참고해야 합니다.","양질의 양고기에 대한 수요가 증가하고 있는 상황에서, 일본은 영국산 쇠고기와 양고기 수입에 대해 20년간의 금지를 해제하였다."
470,호주 총 식단 조사에서 살충제 프로티오포스의 식이 노출이 어떤 문제를 일으켰나요?,호주 총 식단 조사에서 프로티오포스의 식이 노출은 신경독성 문제를 일으키는 것으로 나타났습니다.,살충제 프로티오포스에 대한 추정 식이 노출이 일부 인구 연령 그룹에서 ADI를 초과했습니다.
471,빅토리아 녹색당이 발표할 개정안은 어떤 일회용 플라스틱 품목을 포함하나요?,빅토리아 녹색당이 발표할 개정안은 **일회용 봉투와 컵**을 포함합니다.,"빨대, 교반기, 날붙이류, 면봉, 폴리스티렌 테이크아웃 용기 및 컵을 포함합니다."
472,호주 연방의료제품청(TGA)이 스포츠 보충제를 식품인지 약인지 결정하는 데 제공하는 도구는 무엇인가?,호주 연방의료제품청(TGA)은 스포츠 보충제의 분류를 결정하기 위해 과학적 증거와 위험 평가를 기반으로 하는 평가 프로세스를 사용합니다.,TGA는 제품이 의약품인지 식품인지를 결정하는 데 도움이 되는 식품-의약품 인터페이스 안내 도구를 제공함.
473,'Coles'와 'Woolworths'의 부활절 디저트 아이스크림 중 어떤 제품이 더 많은 직원에게 선호되었나요?,제공된 정보로는 'Coles'와 'Woolworths'의 부활절 디저트 아이스크림 중 직원 선호 제품에 대한 구체적인 비교 데이터가 없습니다. 따라서 특정 제품의 선호도를 단정 짓기 어렵습니다.,'Coles' 아이스크림이 초이스의 직원 55%에게 선호되었습니다.
474,호주에서 보충의약품을 판매하기 전에 반드시 포함되어야 하는 등록은 무엇인가요?,호주에서 보충의약품을 판매하기 전에 반드시 등록해야 하는 것은 **의약품 및 의료기기 등록청(TGA)** 에 의한 **식품 의약품 승인(Food Substances Notification 또는 Food Standards Code에 따른 Approval)** 입니다.,호주에서 보충의약품을 판매하기 전에 반드시 Australian Register of Therapeutic Goods(ARTG)에 포함되어야 합니다.
475,영국 환경식품농촌부가 발표한 가이던스는 노딜 브렉시트 상황에서 어떤 복합식품을 수출하는 방법을 다루고 있나요?,영국 환경식품농촌부의 가이던스는 노딜 브렉시트 상황에서 **복합식품의 수출을 위한 인증 및 규정 준수 방법**을 다룹니다.,해당 문서에 없음
476,호주 농업수자원부가 페루의 새우 및 새우 제품 수입을 허용한 날짜는 언제인가요?,호주 농업수자원부가 페루의 새우 및 새우 제품 수입을 허용한 구체적인 날짜에 대한 공식 발표는 공개 자료에서 명확히 확인되지 않습니다. 정확한 날짜를 알려드리기 어렵습니다.,2019년 5월 17일부터 페루의 새우 및 새우 제품의 수출이 재개될 수 있습니다.
477,호놀룰루시의회에서 발의된 플라스틱 금지 법안이 언제 발효될 수 있나요?,호놀룰루시의회에서 발의된 플라스틱 금지 법안의 정확한 발효 예정일은 공식 발표가 없어 확인할 수 없습니다. 정확한 일정은 시의회 공식 발표를 참고하시기 바랍니다.,2020년 1월에 적용될 수 있음.
478,보리스 존슨은 GM 작물에 대한 유럽의 환경 규정을 어떻게 하겠다고 했나요?,보리스 존슨은 GM 작물에 대한 유럽의 엄격한 환경 규정을 완화하여 농업 혁신을 촉진해야 한다고 주장했습니다.,보리스 존슨은 GM 작물 및 가축의 개발을 억제한 유럽의 환경 규정을 포기하겠다고 약속했습니다.
479,디트로이트 강 부지 붕괴로 인해 캐나다 윈저 시가 제기한 우려는 무엇인가?,캐나다 윈저 시는 디트로이트 강 부지 붕괴로 인해 홍수 위험 증가와 환경 오염에 대한 우려를 제기했습니다.,캐나다 윈저 시는 디트로이트 강 부지 붕괴로 인해 인근 물의 방사능 안전성에 대한 우려를 제기하고 있다.
480,유럽집행위원회는 GM 대두 A2704-12의 승인 갱신 신청에 대한 의견수렴을 언제까지 진행하나요?,유럽집행위원회는 GM 대두 A2704-12의 승인 갱신 신청에 대한 의견수렴을 **2023년 7월 11일까지** 진행합니다.,2019년 2월 13일까지 진행할 예정임.
481,유럽집행위원회가 의견수렴을 진행하는 유전자변형 대두의 정확한 명칭은 무엇인가?,유럽집행위원회가 의견수렴을 진행하는 유전자변형 대두의 정확한 명칭은 'GM 콩'입니다.,MON 87751 × MON 87701 × MON 87708 × MON 89788
482,EU가 일본 후쿠시마산 식품에 대한 수입 제한을 완화할 가능성이 있는 이유는 무엇인가?,EU는 일본 후쿠시마산 식품에 대한 수입 제한 완화를 검토할 수 있는 이유는 방사능 수준 감소 및 국제적 안전 기준 충족 때문입니다.,일본 당국이 EU에 후쿠시마 원전 사고로 타격을 입은 지역의 일부 식품에 대한 수입 제한 조치를 완화할 것을 제안했기 때문임.
