id,질문,예상답변,정답,제목,gold문서
609,CHARM-FOOD에서 제조한 어란이 미국 FDA에 의해 부적합 판정을 받은 이유는 무엇인가요?,"해당 문서에 없음. 그러나 일반적으로 리스테리아 오염은 식품 부적합의 주요 원인 중 하나로, 건강에 해로운 영향을 미칠 수 있다는 점에서 부적합 판정을 받았을 가능성이 있습니다.",리스테리아가 함유되어 건강에 해가 될 가능성이 있기 때문입니다.,"미국 FDA, 2021년 3월 수입부적합(9)","미국 FDA, 2021년 3월 수입부적합(9) -제조사식별번호: 3011498710-제조사명: CHARM-FOOD  -주소지 1: 225 Wolgang-Gil  -주소지 2: Gangrim-Myeon  -도시명: Hoengseong  -지역명: Gangwon  -국가: 대한민국-제품코드: 16YGD04  -제품설명: 어란, 수산물가공품 (FISH ROE, FISHERY PRODUCTS, N.E.C.)-부적합일자: 23-Mar-2021  -FDA 지역사무소: DWCI  -통관 식별번호/참고문서/라인번호/기타: EPM-0159031-0..."
610,Dole Fresh Vegetables Inc가 회수하는 Herb Parsley Curly Grown in Salinas의 회수 사유는 무엇인가요?,Dole Fresh Vegetables Inc가 회수하는 Herb Parsley Curly Grown in Salinas의 회수 사유는 비O157 시가독소생성대장균 (Shiga-Toxin 1) 오염 때문입니다.,비O157 시가독소생성대장균 (Shiga-Toxin 1) 오염 때문입니다.,"[E/R]미국 Dole Fresh Vegetables Inc, 대장균 오염으로 파슬리 회수","[E/R]미국 Dole Fresh Vegetables Inc, 대장균 오염으로 파슬리 회수 -지역: 미국 FL, IA, MI, MN 및 MO.-제품명: Herb Parsley Curly Grown in Salinas. 60EA x 60EA 또는 30EA x 60EA. PLU: 4899 0 07143 00310. 수확일:Aug18. 소매점에 진열된 제품에는 다음 내용이 적힌 타이가 묶여있음.; Curly Parsley Persil Frise Product of USA #4899 Product Des Etatis-Unis 0 33383..."
611,"Shenandoah Growers, Inc.가 회수하는 유기농 바질의 회수 사유는 무엇인가요?","Shenandoah Growers, Inc.가 회수하는 유기농 바질의 회수 사유는 원포자충 오염 가능성 때문입니다.",원포자충 오염 가능성,"[E/R]미국 Shenandoah Growers, Inc., 원포자충 오염 가능성으로 유기농 바질 회수","[E/R]미국 Shenandoah Growers, Inc., 원포자충 오염 가능성으로 유기농 바질 회수 -지역: 미국 IN, OH, MI, IN, MN, MO 소재 유통센터 및 IL, IN, IO, IA, MI, MN, MS, MO, TN, WI 소재 소매점.-제품명: Organic fresh cut basil. > Shenandoah Growers by That's Tasty, 0.75 oz UPC: 7-68573-00101-4 > Shenandoah Growers by That's Tasty, 2.0 oz UPC: 7-68573..."
612,Blackstone Labs LLC의 경영진은 누구인가?,"Blackstone Labs LLC의 경영진은 Phillip ""PJ"" Braun과 Aaron Singerman입니다.",Phillip 'PJ' Braun과 Aaron Singerman,"미국 법무부, 불법 식이보충제 판매한 플로리다 업체 유죄 시인해","미국 법무부, 불법 식이보충제 판매한 플로리다 업체 유죄 시인해 미국 법무부(DOJ)에 따르면, Blackstone Labs LLC (이하 Blackstone)과 2명의 경영진은 불법 단백동화스테로이드(anabolic steroids) 및 기타 불법 제품을 식이보충제로 판매를 공모한 것에 대해 유죄를 시인했다고 함. 법원 문서에 따르면, Phillip ""PJ"" Braun과 Aaron Singerman은 스포츠 및 식이보충제 소매업체인 Blackstone을 설립하였음. 11월 17일, Braun과 Singerman은 규제물질 유통 및..."
613,Sangju Dried Persimmon Distribution Center에서 제조한 곶감 또는 감 페이스트가 미국 FDA에 의해 수입 부적합 판정을 받은 이유는 무엇인가?,해당 문서에 없음.,"유해 농약이 함유된 농산품으로, 식의약화장품법 관련 조항 402(a)(2)(B), 801(a)(3)에 따라 변질로 인한 부적합 판정을 받았다.","미국 FDA, 2021년 4월 수입부적합(12)","미국 FDA, 2021년 4월 수입부적합(12) -제조사식별번호: 3011986709-제조사명: Sangju Dried Persimmon Distribution Center  -주소지 1: 1154 Yeongnamjeil-ro  -주소지 2: -도시명: Sangju-si  -지역명: Gyeongsangbuk-do  -국가: 대한민국-제품코드: 22HGH02  -제품설명: 곶감 또는 감 페이스트 (PERSIMMON, DRIED OR PASTE)-부적합일자: 30-Apr-2021  -FDA 지역사무소: DNEI  -통관 식별번호/참고문..."
614,Golden Ray호에서 기름이 유출된 이유는 무엇인가요?,해당 문서에 없음.,2019년 9월 미국 조지아 해안에서 전복된 Golden Ray호의 '중량 감소 작업' 중 기름이 유출되었습니다.,"미국 조지아, 2019년에 전복된 Golden Ray호에서 기름이 유출되고 있어","미국 조지아, 2019년에 전복된 Golden Ray호에서 기름이 유출되고 있어 세인트 시몬스 사운드 사건 통합사령부의 보도자료에 따르면, 2019년 9월 미국 조지아 해안에서 전복된 Golden Ray호의 ""중량 감소 작업"" 중 기름이 유출되었다고 함. 보도자료에 따르면, 유출된 ""상당한"" 양의 기름을 차단하기 위해 환경보호장벽(EPD) 내부와 외부에서 다양한 접근방식을 사용하고 있다고 함...."
615,캐나다 연방보건부가 이미다클로프리드 농약 사용을 금지하지 않고 조건부로 허용한 이유는 무엇인가?,"연방보건부는 이미다클로프리드 농약의 사용 위험이 특정 제한 조건 하에서 수용 가능하다고 판단했기 때문에 조건부 허용을 결정했습니다. 해당 문서에 명확한 금지 이유는 명시되어 있지 않으나, 새로운 데이터 검토 결과 위험 관리가 가능하다고 본 것으로 보입니다. 해당 문서에 없음.","연방보건부는 수질 모니터링에 관한 새로운 데이터를 검토한 결과, 이미다클로프리드 농약으로 인해 발생할 위험이 특정 제한 하에 수용 가능하다고 판단했기 때문입니다.","캐나다 연방보건부, 이미다클로프리드 농약  재평가 최종결정 발표","캐나다 연방보건부, 이미다클로프리드 농약  재평가 최종결정 발표 캐나다 연방보건부는 5월 19일 이미다클로프리드(Imidacloprid)를 보다 엄격한 조건하에 계속 사용할 수 있다고 발표했음. 이전에 해당 농약을 금지하겠다는 제안에서 완화된 결정임.  연방보건부는 이미다클로프리드가 함유된 농약의 다양한 용도가 현 규정에 부합하나, 일부 용도는 환경에 미치는 영향이 우려스러워 배제한다고 밝힘.  재검토된 이미다클로프리드 사용요건은 5월 19일부터 24개월 이내에 모든 제품 표시에 반영되어야 함. 단 마땅한 대안이 없는 경우 추가로 ..."
616,Landert LLC가 회수 중인 Multigrain Solene Figotte의 회수 사유는 무엇인가요?,Landert LLC가 회수 중인 Multigrain Solene Figotte의 회수 사유는 프랑스에서 수입한 참깨에 미승인 농약 에틸렌옥사이드가 사용되었기 때문입니다.,프랑스에서 수입한 Multigrain Solene Figotte 원료의 밀가루 생산에 사용된 인도산 참깨의 미승인 농약 에틸렌옥사이드 때문입니다.,"[E/R]미국 Landert LLC, 미승인 농약 에틸렌옥사이드로 빵 제품 회수","[E/R]미국 Landert LLC, 미승인 농약 에틸렌옥사이드로 빵 제품 회수 -지역: 미국 FL-제품명: Multigrain Solene Figotte, Item 29497, 순중량: 8.8 Lbs (4 Kg), Lot: 1234567, UPC 코드: (01)03604380294973(10)1234567(15)191121(91)0309000001,(Item# 29497, Lot #1234567, Best Before 11/19/21, UPC code (01)03604380294973(10)1234567(15)191121(91))..."
617,즉석밥 1인분에는 얼마나 많은 미세플라스틱이 포함되어 있나요?,즉석밥 1인분에는 최대 13mg의 미세플라스틱이 포함되어 있습니다.,즉석밥 1인분에는 최대 13mg의 미세플라스틱이 포함되어 있습니다.,"[연구결과]호주 연구진, 즉석밥 1인분에 미세플라스틱 13mg 들어있어","[연구결과]호주 연구진, 즉석밥 1인분에 미세플라스틱 13mg 들어있어 Journal of Hazardous Material 저널에 게재된 호주의 한 연구(*)는 즉석밥 팩에 최대 13mg의 미세플라스틱이 포함되어 있다는 것을 밝히며, 플라스틱 함량을 제한하기 위해 더 많은 조치를 취해야 할 필요성을 강조함.호주 퀸즐랜드 대학의 퀸즐랜드 환경보건과학연합의 연구진은 소비자가 이용하는 모든 형태의 쌀에 얼마나 많은 미세플라스틱이 있는지 알아보기 시작하였음.주 저자인 제이크 오브라이언은 일반 미조리(uncooked) 쌀에는 쌀 100g당..."
618,777K 제품이 경고를 받은 이유는 무엇인가요?,777K 제품이 경고를 받은 이유는 실데나필(sildenafil) 성분 함유 때문입니다.,의약품성분 실데나필(sildenafil) 함유로 경고를 받았습니다.,"호주 연방의료제품청, 의약품성분 실데나필 함유로 '777K' 경고","호주 연방의료제품청, 의약품성분 실데나필 함유로 '777K' 경고 - 경고일시: 2021.11.3- 제품명: 777K - 사유: 의약품성분 실데나필(sildenafil) 함유- 기타: 해당 성분을 함유한 제품을 공급하는 행위는 불법임. 당국은 호주 법률에서 요구하는 품질, 안전성, 효능성을 평가한 적이 없으며, 제조사 또한 청의 승인을 받지 않았음. - 제품 사진: 원문 참조..."
619,캐나다 보건부가 경고한 미승인 성기능 개선제 중 타다라필이 검출된 제품은 무엇인가?,"Alien Power Platinum 1100, Lucky Lady, Poseidon Platinum 3500 입니다.","Alien Power Platinum 1100, Lucky Lady, Poseidon Platinum 3500, Rhino 7 Platinum 10000, 3800 Hard Rock, Rhino 25 Platinum 150 K에서 타다라필이 검출되었습니다.","캐나다 연방보건부, 건강에 위험할 수 있는 미승인 제품 경고 업데이트","캐나다 연방보건부, 건강에 위험할 수 있는 미승인 제품 경고 업데이트 * 관련 기정보 : 캐나다 연방보건부, 건강에 위험할 수 있는 미승인 제품 경고 업데이트(수집일자 : 2021-10-13)캐나다 연방보건부, 건강에 위험할 수 있는 미승인 제품 경고 업데이트(수집일자 : 2021-09-04)캐나다 연방보건부, 건강에 위험할 수 있는 미승인 제품 경고(1/1)(수집일자 : 2021-03-27)    캐나다 보건부가 건강에 심각한 위험을 초래할 수 있는 미승인 보건제품에 대해 알림. 캐나다 보건부는 성기능 개선제, 체중 감량제, 운동..."
620,유럽식품안전청이 트라가칸트검 사료 첨가제의 안전성과 효능에 대해 결론을 내리지 못한 이유는 무엇인가?,유럽식품안전청이 트라가칸트검 사료 첨가제의 안전성과 효능에 대해 결론을 내리지 못한 이유는 신청자가 추가 정보를 전달하지 않았기 때문임.,"신청자가 추가 정보를 전달하지 않았기 때문에, 기존 서류가 제공하는 데이터 및 EFSA의 요청에 대한 신청자의 응답 부재를 고려하여 결론을 도출할 수 없다고 판단하였다.","유럽식품안전청, 트라가칸트검으로 구성된 사료 첨가제의 안전성 및 효능에 관한 평가 설명문 게재","유럽식품안전청, 트라가칸트검으로 구성된 사료 첨가제의 안전성 및 효능에 관한 평가 설명문 게재 유럽식품안전청(EFSA)이 트라가칸트검(tragacanth gum)으로 구성된 사료 첨가제의 안전성 및 효능에 관한 평가 설명문을 게재하였음.  첨가제 트라가칸트검의 사용 의도는 모든 동물 종(種)을 위한 사료 첨가제 (분류: 기술적 첨가제(technological additive), 작용기(functional group) 유화제, 안정제, 증점제, 겔화제(gelling agent))로 활용하기 위함임. 동물 사료에 사용되는 첨가제 및 제..."
621,미국 소비자단체들이 대마 CBD 보충제 합법화 법안에 반대하는 이유는 무엇인가?,미국 소비자단체들은 대마 CBD 보충제 합법화 법안에 반대하는 이유는 이러한 법안이 FDA의 규제를 우회하여 안전하지 않은 시장을 조성할 수 있기 때문임. 해당 문서에 없음.,소비자단체들은 대마 CBD 보충제 합법화 법안이 규제기관인 FDA를 우회하여 안전하지 않은 시장을 만들 것이라고 경고하며 반대하고 있다.,"미국 소비자단체, 의회에 대마 CBD 보충제 합법화 법안 부결 촉구","미국 소비자단체, 의회에 대마 CBD 보충제 합법화 법안 부결 촉구 *기수집정보: 미국 의회, 대마 CBD 보충제 합법화 법안 제출(2021-02-08) 미국의 여러 소비자단체는 미국 의회의 의원들에게 식이보충제의 CBD를 합법화하는 법안을 부결하라고 촉구하고, 이러한 움직임이 규제기관(식품의약품청,FDA)을 우회하여 안전하지 않은 시장을 만들 것이라고 경고했음. 식이보충제로 표시된 CBD 함유 제품은 대마유래 제품은 처음에 의약품으로 연구되었기 때문에 CBD를 식이보충제로 광고하는 것은 합법적일 수 없다는 수년간의 FDA 주장에도..."
622,Bacillus flexus AE-BAF 유래 베타-아밀레이스 사용 승인은 언제부터 효력을 가지나요?,"해당 문서에 명시된 바에 따르면, Bacillus flexus AE-BAF 유래 베타-아밀레이스 사용 승인은 2021년 2월 9일부터 효력을 가집니다.",2021년 2월 9일부터 효력을 가집니다.,"캐나다 연방보건부, Bacillus flexus AE-BAF 유래 베타-아밀레이스 사용 승인을 위한효소 목록 개정","캐나다 연방보건부, Bacillus flexus AE-BAF 유래 베타-아밀레이스 사용 승인을 위한효소 목록 개정 캐나다 연방보건부 식품총국은 다양한 제품에 Bacillus flexus AE-BAF 유래 베타-아밀레이스(β-amylase) 사용 승인을 위한 안전성 평가를 완료했음.보리 맥아에서 유래한 베타-아밀레이스는 요청된 제품용 및 맥아즙용 효소로 이미 승인되었음. 이번 안전성 평가 결과는 요청된 Bacillus flexus AE-BAF 유래 베타-아밀레이스의 사용이 안전하다는 사실을 뒷받침함. 따라서 보건부는 승인 효소 목록(..."
623,"Ready Pac Foods, Inc.의 샐러드 제품이 회수된 이유는 무엇인가요?","Ready Pac Foods, Inc.의 샐러드 제품이 회수된 이유는 제품 오표시 및 알레르기 유발성분인 멸치가 표시되지 않았기 때문입니다.",제품 오표시 및 알레르기 유발성분인 멸치가 표시되지 않았기 때문입니다.,"[회수]미국 Ready Pac Foods, Inc., 제품 오표시 및 알레르기 유발성분 멸치 미표시로 샐러드 제품 회수","[회수]미국 Ready Pac Foods, Inc., 제품 오표시 및 알레르기 유발성분 멸치 미표시로 샐러드 제품 회수 -일자: 2021.09.23.-유통지역: 미국 전역 소매점 및 국방부(DOD)-회수사: Ready Pac Foods, Inc.-제품명: 2021년 8월 27일-9월 19일에 생산된 육류 및 가금류 함유 즉석섭취식품 샐러드 제품. 회수 대상 제품에는 시설번호 ""M-18502B"", ""P-18502B"", ""M-32081"", 또는 ""P-32081""이 표시되어 있을 수 있음.(https://www.fsis.usda.gov/..."
624,Sau Tao (Sun Shun Fuk) ST Amoy Bean Strip 제품의 회수 이유는 무엇인가요?,"해당 문서에 따르면, Sau Tao (Sun Shun Fuk) ST Amoy Bean Strip 제품은 알레르기 유발 물질인 대두가 미표시로 함유되어 있어 회수되었습니다.",알레르기유발물질 대두 함유 미표시,"[회수]영국 Liroy B.V., 알레르기유발물질 대두 함유 미표시로 Sau Tao (Sun Shun Fuk) ST Amoy Bean Strip 회수","[회수]영국 Liroy B.V., 알레르기유발물질 대두 함유 미표시로 Sau Tao (Sun Shun Fuk) ST Amoy Bean Strip 회수 *관련 기수집 정보: [회수] 스페인 Liroy B.V., 알레르기유발물질 대두 함유 미표시로 홍콩산 면류 회수 (수집일자: 2021-05-21) *관련 기수집 정보: [회수] 영국 Liroy B.V., 알레르기유발물질 대두 함유 미표시로 Amoy Bean Strip 회수(수집일자: 2021-05-27) -일시: 2021.5.29-제품명: Sau Tao (Sun Shun Fuk) ST..."
625,Asda Extra Special Lamb Moussaka 제품의 회수 사유는 무엇인가요?,회수 사유는 알레르기 유발 성분인 달걀이 제품에 함유되었음에도 불구하고 미표시 되었기 때문입니다.,알레르기 유발성분 달걀 함유 미표시,"[회수]영국 Asda, 알레르기유발물질 달걀 함유 미표시로 양고기 함유 제품 회수","[회수]영국 Asda, 알레르기유발물질 달걀 함유 미표시로 양고기 함유 제품 회수 -일시: 2021.10.7-제품명: Asda Extra Special Lamb Moussaka (Pack size: 400g, Use by: 14 October 2021, 15 October 2021, 16 October 2021,17 October 2021)-회수사: Asda-회수사유: 알레르기 유발성분 달걀 함유 미표시-제품사진: -..."
626,S.M. Pickles of Glastonbury의 피클 제품이 회수된 이유는 무엇인가요?,S.M. Pickles of Glastonbury의 피클 제품이 회수된 이유는 라벨에 알레르기 유발 성분인 겨자가 표기되지 않았기 때문입니다.,라벨에 알레르기 유발 성분 겨자가 표시되지 않았기 때문입니다.,"[회수]영국 S.M. Pickles of Glastonbury, 알레르기 유발성분 겨자 미표시로 피클 제품 7종 회수","[회수]영국 S.M. Pickles of Glastonbury, 알레르기 유발성분 겨자 미표시로 피클 제품 7종 회수 - 일자: 2021.2.25- 회수사: S.M. Pickles of Glastonbury- 지역: 잉글랜드만 해당- 제품: 전체 용량/사이즈 및 배치코드1) S.M. Pickles Pickled onions, Best before: 19 October 2021까지의 모든 날짜2) S.M. Pickles Pickled eggs, Best before: 19 October 2021까지의 모든 날짜3) S.M. Pickl..."
627,Genex Nutraceuticals의 크레아틴 파우더 제품이 회수된 이유는 무엇인가요?,"Genex Nutraceuticals의 크레아틴 파우더 제품이 회수된 이유는 비타민 D 과다 함유 가능성, 캐나다 의약품 제조 및 품질관리기준(GMP) 미준수, 그리고 제품 라벨링에 필수 문구 표시 누락 때문입니다.","로트번호 2006CRTN807의 비타민 D 과다 함유, 캐나다 의약품 제조 및 품질관리기준(GMP) 미준수, 제품에 '성인 전용' 문구 표시 누락 때문입니다.","[확대회수]캐나다 Genex Nutraceuticals, 규정 미준수 및 표시 누락 등으로 크레아틴 파우더 제품 전 로트 회수","[확대회수]캐나다 Genex Nutraceuticals, 규정 미준수 및 표시 누락 등으로 크레아틴 파우더 제품 전 로트 회수 *관련 기정보 : [회수] 캐나다 연방보건부, 미표시된 비타민 D 과다 함유 가능성으로 크레아틴 파우더 제품 회수 (수집일자 :  2021-02-22) -일자 : 2021.2.21(발표일자 : 2021.3.5)-지역 : 캐니다 -제품명 : Perfect Sports Core Series Pure Creatine(또는 Creatine Powder)(NPN 번호 : 80012948, 로트번호 : 2006CRTN..."
628,Waah Organic Rajma Masala 제품이 회수된 이유는 무엇인가요?,해당 제품은 미표시된 기(ghee) 성분에 포함된 알레르기 유발 성분인 우유 함유로 인해 회수되었습니다.,미표시된 기(ghee) 성분의 알레르기 유발성분 우유 함유로 인해 회수되었습니다.,"[E/R]미국 Agri Exim INC., 미표시된 알레르기 유발성분 우유 함유로 향신료 회수","[E/R]미국 Agri Exim INC., 미표시된 알레르기 유발성분 우유 함유로 향신료 회수 -지역: 미국 NY, MA, PA, CA, OR, WA, IL, GA, VA, FL-제품명: Waah Organic Rajma Masala(Best by: Oct2021, Nov2021, Mar2022, Nov2022 UPC Codes: 856530008159)-회수사: Agri Exim INC. (회수중, 회수일: 5/6/2021)-회수사유: 미표시된 기(ghee) 성분의 알레르기 유발성분 우유 함유..."
629,Coolhaus Awesome Dessert 제품의 회수 사유는 무엇인가요?,Coolhaus Awesome Dessert 제품의 회수 사유는 제조업체의 QA 과정에서 제품에 알레르기 유발성분인 대두 레시틴이 표시되지 않았기 때문입니다.,"제조업체의 QA 알레르기 유발성분 체크 결과, 제품에 대두 레시틴이 표시되지 않았음을 확인함.","[E/R]미국 COOLHAUS, 알레르기 유발성분 대두 레시틴 미표시로 냉동 디저트 제품 회수","[E/R]미국 COOLHAUS, 알레르기 유발성분 대두 레시틴 미표시로 냉동 디저트 제품 회수 -지역: 미국 CA,WI,OH-제품명: Coolhaus Awesome Dessert - Dairy Free Mocha Marcona Almond Fudge, Creamy Coffee Fudge Swirl  Marcona Almond Frozen Dessert. 16 fl.oz, Dessert Paperboard Pint (473 mL) UPC: 851916003605. (BEST BY: 09/18/2021 HH:MM 06-06912F)-회..."
630,Aldi UK가 회수한 Crestwood 브랜드의 2 Puff Pastry Cheese and Onion Slices의 회수 사유는 무엇인가요?,회수 사유는 알레르기 유발 성분인 보리와 겨자를 제품에 표시하지 않았기 때문입니다.,알레르기 유발성분 보리 및 겨자 미표시,"[회수] 영국 Aldi, 알레르기 유발성분 보리 및 겨자 미표시로 퍼프 페이스트리 제품 회수","[회수] 영국 Aldi, 알레르기 유발성분 보리 및 겨자 미표시로 퍼프 페이스트리 제품 회수 - 일자 : 2021.08.06.- 지역 : 잉글랜드, 웨일스, 스코틀랜드- 제품명 : 2 Puff Pastry Cheese and Onion Slices (브랜드 : Crestwood, 중량 : 300g, 제품코드 : 707602, 소비기한(일월년) : 16.08.2021)- 회수사 : Aldi UK- 회수사유 : 알레르기 유발성분 보리 및 겨자 미표시- 제품사진 : https://s3-eu-west-1.amazonaws.com/fsa-a..."
631,Veggie Pizza 제품의 회수 사유는 무엇인가요?,Veggie Pizza 제품의 회수 사유는 제품에 미표시된 알레르기 유발 성분인 대두 레시틴이 함유되어 있기 때문입니다.,미표시된 알레르기 유발성분 대두레시틴 함유,"[E/R]미국 Russ Davis Wholesale Inc, 미표시된 알레르기 유발성분 대두레시틴 함유로 베지 피자 회수","[E/R]미국 Russ Davis Wholesale Inc, 미표시된 알레르기 유발성분 대두레시틴 함유로 베지 피자 회수 -지역: 미국 IA, MI, MN, ND, SD, WI-제품명: Veggie Pizza 브랜드: Crazy Fresh, quick  easy 및 라벨 없음. Item # 81068, Net Wt. 6.2 oz., UPC 7 95631 81068 4. 제조사: RDW St. Paul, MN 55121(Use By: 04/20/2021 - 05/04/2021)-회수사: Russ Davis Wholesale Inc (..."
632,BASF SE와 DIEM Labs가 판매한 Hepaxa와 Hepaxa PD 보충제에 대해 FTC가 어떤 조치를 취했나요?,"FTC는 BASF SE와 DIEM Labs에 총 $416,000 이상의 벌금을 부과하기로 결정하고, 오해의 소지가 있는 광고 금지와 과학적 증거 요구를 명령했습니다.","FTC는 BASF SE와 DIEM Labs에 총 $416,000 이상의 벌금을 부과하고, 오해의 소지가 있는 광고를 금지하며, 건강 강조 표시를 뒷받침할 수 있는 충분한 과학적 증거를 보유하도록 요구했습니다.","미국 연방거래위원회, 허위 강조 표시한 어유 보충제 판매 회사에 벌금 부과 결정","미국 연방거래위원회, 허위 강조 표시한 어유 보충제 판매 회사에 벌금 부과 결정 미국 연방거래위원회(FTC)는 2개의 식이 어유 보충제(dietary fish oil supplements)를 비알코올성 지방간 질환(non-alchoholic fatty liver disease, NAFLD)이 있는 성인과 어린이의 간 지방을 줄이는 것으로 임상적으로 입증되었다고 속여 판매한 BASF SE와 DIEM Labs 두 회사에 총 $416,000 이상의 벌금을 부과하기로 결정했다고 밝힘. 동 벌금으로 FTC가 해당 보충제를 구매한 모든 소비자..."
633,Kraft Heinz Foods Company가 회수한 제품의 문제는 무엇인가요?,제품 오표시 및 알레르기 유발성분 우유와 달걀 미표시 문제입니다. 해당 문서에 없음.,제품 오표시 및 알레르기 유발성분 우유 및 달걀 미표시입니다.,"[회수]미국 Kraft Heinz Foods Company, 제품 오표시 및 알레르기 유발성분 미표시로 냉동 수프 제품 회수","[회수]미국 Kraft Heinz Foods Company, 제품 오표시 및 알레르기 유발성분 미표시로 냉동 수프 제품 회수 - 일자: 2021.05.17.- 유통지역: 미국 전역- 회수사: Kraft Heinz Foods Company- 제품명:  16-lb ""Chef Francisco Minestrone Condensed Soup"" 케이스에 유통됨. 로트코드: LD28120FT1.""Chef Francisco Vegetable Beef and Barley Condensed Soup""라고 표시된 4-lb. 튜브에는 ""Chef Fra..."
634,Birds Eye 4 Chicken Burger with Golden Wholegrain의 회수 사유는 무엇인가요?,빨간색 플라스틱 조각 혼입으로 인한 것입니다.,빨간색 플라스틱 조각 혼입,"[회수]영국 Birds Eye, 플라스틱 조각 혼입으로 치킨버거 회수","[회수]영국 Birds Eye, 플라스틱 조각 혼입으로 치킨버거 회수 - 일자: 2021.3.18- 지역: 영국- 제품: Birds Eye 4 Chicken Burger with Golden Wholegrain, Pack size: 200g, 배치코드: L1022 V U124, L1022 W U124,  L1022 X U124, Best before: April 2022- 회수사: Birds Eye- 회수사유: 빨간색 플라스틱 조각 혼입- 제품사진: -..."
635,Good Gather Four Cheese Gnocchi 제품의 회수 사유는 무엇인가요?,Good Gather Four Cheese Gnocchi 제품의 회수 사유는 이물 혼입 가능성 때문입니다.,이물 혼입 가능성,"[E/R]미국 EMILIA FOODS SRL, 이물 혼입 가능성으로 뇨끼 제품 회수","[E/R]미국 EMILIA FOODS SRL, 이물 혼입 가능성으로 뇨끼 제품 회수 -지역: 미국 전역-제품명: Good  Gather Four Cheese Gnocchi, Net Wt. 16 oz. (454g), 냉동보관. UPC 0 85239-10366 1. 원산지: 이탈리아. 유통사: Target Corporation, Minneapolis, MN 55403(LI0267 BEST if Used By 23 MAR 2022)-회수사: EMILIA FOODS SRL (회수중, 회수일: 1/15/2021)-회수사유: 이물 혼입 가능성..."
636,Mountain Meadow Herbs Brand Candida Flush Endotoxin Cleans3 제품이 회수된 이유는 무엇인가요?,"Mountain Meadow Herbs Brand Candida Flush Endotoxin Cleans3 제품은 시간이 지남에 따라 병에 압력이 가해져 뚜껑, 캡슐 및 제품 분말이 강제로 배출될 위험으로 인해 회수되었습니다. 해당 제품 섭취 시 소비자가 손과 눈에 부상을 입을 수 있음이 회수 사유입니다.","시간이 지남에 따라 병에 압력이 가해질 수 있어, 소비자가 제품을 개봉할 때 뚜껑, 캡슐 및 제품 분말이 강제로 배출되어 손과 눈에 부상을 입을 수 있기 때문입니다.","[E/R]미국 Mountain Meadow Herbs, Inc., 병의 압력으로 인한 부상 위험으로 식이보충제 회수","[E/R]미국 Mountain Meadow Herbs, Inc., 병의 압력으로 인한 부상 위험으로 식이보충제 회수 -지역: 미국 IN, KY, MN, MO, MT, NE, NY, OH, PA, TN, VA, WI 및 캐나다 온타리오-제품명: Mountain Meadow Herbs Brand Candida Flush Endotoxin Cleans3, 캡슐 당 500 mg. 240 정. UPC 8 13086 01593 2. 동 제품은 'Total Yeast Detox Package'의 일부로 판매되었을 수 있으며 이와 별도로 판매되었..."
637,Ingredion INSTANT PURE-FLO F 전분의 회수 사유는 무엇인가요?,Ingredion INSTANT PURE-FLO F 전분의 회수 사유는 금속 이물 혼입 가능성 때문입니다.,금속 이물 혼입 가능성,"[E/R]미국 Ingredion Incorporated, 금속 이물 혼입 가능성으로 전분 회수","[E/R]미국 Ingredion Incorporated, 금속 이물 혼입 가능성으로 전분 회수 -지역: 미국 AR, CA, GA, IL, KY, MA, MI, MO, NC, NJ, NY, OH, PA, TX, WA, WI. 캐나다, 콜롬비아, 멕시코.-제품명: Ingredion INSTANT PURE-FLO F (50 pound bag) food grade starch material 12151103CA(Batch JA2423 Batch JA2427 Batch JA2431 Batch KA2435 Batch KA2441 Batch K..."
638,Brill Inc가 회수하는 쿠키 제품의 회수 사유는 무엇인가요?,Brill Inc가 회수하는 쿠키 제품의 회수 사유는 이물 혼입 가능성 때문입니다.,이물 혼입 가능성,"[E/R]미국 Brill Inc, 이물 혼입 가능성으로 쿠키 회수","[E/R]미국 Brill Inc, 이물 혼입 가능성으로 쿠키 회수 -지역: 미국 전역-회수사: Brill Inc (회수중, 회수일: 4/27/2021)-회수사유: 이물 혼입 가능성-제품명: 1) 10194739 TranSmart"" 12 INCH CHOCOLATE CHIP MESSAGE COOKIE 24/24 OUNCE CHOCOLATE CHIP COOKIES IN BAKEABLE PLASTIC PANS WITH DOMES. 냉동보관. 순중량: 36 lb (16.33 kg) (24 x 24 oz (680g))(Batches 10008..."
639,Faribault Foods가 회수하는 SW Organic Black Beans의 유통기한은 언제인가요?,해당 문서에 없음.,SW Organic Black Beans의 유통기한은 2022년 7월 19일부터 2023년 3월 16일까지 다양합니다.,"[E/R]미국 Faribault Foods, 캔의 밀폐부분 손상으로 콩 통조림 제품 회수","[E/R]미국 Faribault Foods, 캔의 밀폐부분 손상으로 콩 통조림 제품 회수 -지역: 미국 AK, AZ, CA, CO, GA, HI, ID, OR, UT, TX, WA-회수사: Faribault Foods (회수중, 회수일: 4/20/2021)-회수사유: 캔의 밀폐부분 손상-제품명: 1) SW Organic Black Beans, 15 oz. can, 유통사: Faribault Foods, 3401 Park Ave NW, Faribault, MN 55021.(코드정보: 1329A 032 21; Best By JAN 31..."
